instance,formulation,lower_bound,upper_bound,time,variables,constaints
j603_1,continuous,60.0,60.0,1.75,5405,9644
j603_5,discrete,83.0,83.0,2.23,19895,1156
j603_5,continuous,83.0,83.0,1.19,5201,9284
j6012_4,discrete,69.0,69.0,3.95,18520,1072
j6012_4,continuous,69.0,69.0,0.14,5365,9574
j6025_4,discrete,78.0,78.0,4.53,17822,1055
j6025_4,continuous,78.0,106.0,600.0,4295,7578
j6040_6,discrete,69.0,69.0,2.4,16582,966
j6040_6,continuous,69.0,69.0,0.09,4049,7309
j6027_4,discrete,60.0,60.0,3.34,15955,975
j6027_4,continuous,60.0,60.0,7.55,4761,8536
j6025_3,discrete,90.0,90.0,4.81,18666,1071
j6025_3,continuous,90.0,111.0,600.0,4207,7364
j6012_8,discrete,60.0,60.0,2.89,16236,948
j6012_8,continuous,60.0,60.0,0.15,5249,9371
j6044_4,discrete,77.0,77.0,4.98,19242,1138
j6044_4,continuous,77.0,77.0,0.16,3913,7071
j6038_9,discrete,66.0,66.0,2.36,15919,986
j6038_9,continuous,66.0,66.0,38.05,3949,7134
j6040_5,discrete,83.0,83.0,4.23,19419,1142
j6040_5,continuous,83.0,83.0,0.08,3785,6847
j6024_2,discrete,55.0,55.0,2.6,16698,1031
j6024_2,continuous,55.0,55.0,0.11,4701,8431
j6041_2,discrete,81.0,81.0,4.4,16804,982
j6041_2,continuous,81.0,96.0,600.0,3745,6618
j6026_1,discrete,80.0,80.0,3.09,16823,891
j6026_1,continuous,80.00000000000152,80.00000000000152,61.6,4849,8690
j6026_1,discrete,80.0,80.0,3.09,16823,891
j6026_1,continuous,85.0,85.0,21.92,4269,7675
j6030_2,discrete,65.0,65.0,2.73,17488,1063
j6030_2,continuous,65.0,110.0,1078.13,4581,8221
j6032_4,discrete,56.0,56.0,3.88,16448,979
j6032_4,continuous,56.0,56.0,0.12,4725,8473
j6022_8,discrete,59.0,59.0,2.98,17614,1067
j6022_8,continuous,59.0,59.0,11.52,4837,8669
j6041_6,discrete,82.0,82.0,5.6,17369,1062
j6041_6,continuous,85.0,94.0,600.01,3159,5498
j6013_5,discrete,53.0,53.0,2.69,17899,1092
j6013_5,continuous,55.0,119.0,600.01,5681,10127
j6031_7,discrete,76.0,76.0,4.34,16597,923
j6031_7,continuous,76.0,281.0,1082.34,4161,7486
j6033_4,discrete,75.0,75.0,2.13,18235,1074
j6033_4,continuous,75.0,76.0,1052.28,3863,6898
j6038_4,discrete,58.0,58.0,2.74,16871,1046
j6038_4,continuous,58.00000000001439,58.00000000001439,33.01,4329,7799
j6037_8,discrete,79.0,79.0,2.88,16703,974
j6037_8,continuous,79.0,79.0,50.68,3887,6754
j6026_6,discrete,73.0,73.0,4.15,17668,1059
j6026_6,continuous,73.0,80.0,1345.88,4885,8753
j6014_1,discrete,59.0,59.0,2.75,17732,1068
j6014_1,continuous,67.0,81.0,600.01,5077,9070
j6014_1,discrete,59.0,59.0,2.75,17732,1068
j6014_1,continuous,59.0,69.0,600.0,5425,9679
j6017_9,discrete,70.0,70.0,1.63,16994,959
j6017_9,continuous,72.0,72.0,16.97,4257,7486
j6014_2,discrete,65.0,65.0,2.92,18185,1088
j6014_2,continuous,65.0,65.0,185.8,5381,9602
j6025_8,discrete,57.0,57.0,3.34,17438,1047
j6025_8,continuous,59.494845361,115.0,600.0,4851,8599
j6031_8,discrete,75.0,75.0,2.89,17454,1039
j6031_8,continuous,75.0,97.0,980.34,4345,7808
j6045_4,discrete,60.0,60.0,4.42,15304,962
j6045_4,continuous,65.0,125.0,600.01,3847,6858
j602_2,discrete,82.0,82.0,2.31,17884,948
j602_2,continuous,82.0,82.0,3.26,5217,9252
j6020_9,discrete,74.0,74.0,2.14,19119,1139
j6020_9,continuous,74.0,74.0,0.08,4509,8086
j6036_8,discrete,69.0,69.0,1.98,17653,1086
j6036_8,continuous,69.0,69.0,0.08,4073,7351
j6016_9,discrete,54.0,54.0,2.54,17380,1052
j6016_9,continuous,54.0,54.0,0.14,5493,9798
j6014_5,discrete,59.0,59.0,2.29,16871,992
j6014_5,continuous,59.0,61.0,600.01,5473,9763
j6025_7,discrete,66.0,66.0,2.82,14661,835
j6025_7,continuous,67.0,106.0,600.0,4443,7801
j6018_8,discrete,78.0,78.0,1.96,17597,1019
j6018_8,continuous,78.0,78.0,3.56,4567,8144
j6036_4,discrete,85.0,85.0,2.09,16911,994
j6036_4,continuous,85.0,85.0,0.08,3859,6972
j6021_1,discrete,76.0,76.0,3.37,17268,1003
j6021_1,continuous,53.0,71.00000000000014,600.01,4543,7904
j6021_1,discrete,76.0,76.0,3.37,17268,1003
j6021_1,continuous,77.0,77.0,55.17,4089,7033
j6015_1,discrete,84.0,84.0,2.6,17370,968
j6015_1,continuous,84.0,84.0,2.23,5129,9161
j6015_1,discrete,84.0,84.0,2.6,17370,968
j6015_1,continuous,61.0,61.0,3.44,5429,9686
j6014_9,discrete,61.0,61.0,2.36,16564,992
j6014_9,continuous,61.0,62.0,600.01,5729,10211
j6023_6,discrete,81.0,81.0,2.54,16233,903
j6023_6,continuous,81.0,81.0,2.25,4323,7768
j6032_9,discrete,74.0,74.0,3.43,19862,1159
j6032_9,continuous,74.0,74.0,0.12,4621,8291
j6041_9,discrete,80.0,80.0,3.09,19944,1190
j6041_9,continuous,82.0,112.0,600.01,3667,6456
j6022_2,discrete,83.0,83.0,4.08,18949,1091
j6022_2,continuous,83.0,83.0,24.69,4605,8257
j601_10,discrete,76.0,76.0,1.83,18873,1092
j601_10,continuous,76.0,76.0,10.93,5145,9072
j6015_5,discrete,70.0,70.0,2.73,18212,1060
j6015_5,continuous,70.0,70.0,15.51,5349,9546
j6023_10,discrete,68.0,68.0,2.31,15335,927
j6023_10,continuous,68.0,68.0,3.58,4589,8235
j603_8,discrete,52.0,52.0,1.5,17375,1016
j603_8,continuous,52.0,52.0,8.29,5487,9756
j6029_6,discrete,77.0,77.0,4.78,21882,1319
j6029_6,continuous,-inf,inf,1070.14,4393,7733
j6039_1,discrete,80.0,80.0,3.64,16939,990
j6039_1,continuous,80.0,80.0,2.22,3733,6756
j6039_1,discrete,80.0,80.0,3.64,16939,990
j6039_1,continuous,74.0,74.0,1.75,4049,7309
j6018_10,discrete,97.0,97.0,2.13,19471,1091
j6018_10,continuous,97.0,97.0,1.71,4401,7873
j6038_5,discrete,102.99999999999999,102.99999999999999,2.52,15692,846
j6038_5,continuous,103.0,103.0,6.21,3857,6967
j6037_7,discrete,75.0,75.0,3.99,18423,1098
j6037_7,continuous,80.0,80.0,52.79,3597,6257
j6021_8,discrete,85.0,85.0,3.45,17191,959
j6021_8,continuous,85.0,85.0,8.33,4079,7065
j6028_6,discrete,89.0,89.0,4.77,18201,1015
j6028_6,continuous,89.0,89.0,0.11,4401,7906
j6036_1,discrete,61.0,61.0,1.85,15677,966
j6036_1,continuous,77.0,77.0,0.07,3975,7172
j6036_1,discrete,61.0,61.0,1.85,15677,966
j6036_1,continuous,61.0,61.0,0.07,3959,7147
j6024_6,discrete,75.0,75.0,3.41,16493,963
j6024_6,continuous,75.0,75.0,0.11,4733,8487
j6021_7,discrete,80.0,80.0,3.64,17539,1015
j6021_7,continuous,82.0,82.0,178.78,4105,7160
j6014_3,discrete,61.0,61.0,2.49,17061,1004
j6014_3,continuous,61.0,64.0,600.01,5225,9329
j6021_3,discrete,65.0,65.0,2.9,17601,1039
j6021_3,continuous,65.0,80.0,600.0,4339,7607
j6019_9,discrete,67.0,67.0,2.21,18894,1167
j6019_9,continuous,69.0,69.0,2.84,4541,8151
j601_2,discrete,65.0,65.0,1.8,18221,1104
j601_2,continuous,65.0,65.0,11.34,5217,9198
j6039_3,discrete,83.0,83.0,3.58,19173,1098
j6039_3,continuous,83.0,83.0,2.43,4001,7225
j6033_1,discrete,90.0,90.0,2.17,17410,954
j6033_1,continuous,69.0,69.0,2.47,3831,6830
j6033_1,discrete,90.0,90.0,2.17,17410,954
j6033_1,continuous,90.0,90.0,63.12,3831,6803
j6043_4,discrete,74.0,74.0,3.15,19770,1162
j6043_4,continuous,75.0,75.0,12.97,4041,7295
j6017_3,discrete,79.0,79.0,2.14,19215,1127
j6017_3,continuous,80.0,80.0,11.53,4665,8221
j6015_6,discrete,76.0,76.0,2.51,17308,952
j6015_6,continuous,76.0,76.0,11.43,5485,9784
j6041_1,discrete,91.0,91.0,5.02,18905,1086
j6041_1,continuous,91.0,104.0,600.01,3587,6253
j6041_1,discrete,91.0,91.0,5.02,18905,1086
j6041_1,continuous,75.198339737,129.0,600.0,3911,7048
j602_1,discrete,65.0,65.0,1.4,17276,972
j602_1,continuous,64.0,80.0,754.85,5561,9902
j602_1,discrete,65.0,65.0,1.4,17276,972
j602_1,continuous,65.0,66.0,973.54,5499,9801
j6022_7,discrete,69.0,69.0,3.75,20329,1231
j6022_7,continuous,69.0,69.0,14.4,4829,8655
j6022_3,discrete,70.0,70.0,3.16,17047,1035
j6022_3,continuous,70.0,70.0,16.74,4623,8269
j6011_5,discrete,65.0,65.0,3.34,19112,1112
j6011_5,continuous,65.0,65.0,5.53,5557,9910
j6010_3,discrete,72.0,72.0,2.52,18795,1032
j6010_3,continuous,72.00000000000125,72.00000000000125,302.7,5413,9658
j6035_5,discrete,75.0,75.0,2.54,17768,1086
j6035_5,continuous,76.0,76.0,1.75,3655,6618
j6037_10,discrete,86.0,86.0,3.63,17719,1034
j6037_10,continuous,86.0,86.0,85.68,4085,7201
j6044_1,discrete,84.0,84.0,3.22,16527,926
j6044_1,continuous,84.0,84.0,0.18,4105,7407
j6044_1,discrete,84.0,84.0,3.22,16527,926
j6044_1,continuous,65.0,65.0,0.12,4013,7246
j6031_2,discrete,74.0,74.0,3.1,17731,1071
j6031_2,continuous,-inf,inf,1135.02,4641,8326
j6037_4,discrete,75.0,75.0,4.09,17832,1046
j6037_4,continuous,81.0,81.0,72.75,3765,6620
j601_5,discrete,68.0,68.0,1.25,16374,924
j601_5,continuous,68.0,68.0,6.52,5111,8984
j6029_5,discrete,77.0,77.0,2.58,17221,971
j6029_5,continuous,77.0,314.0,1031.72,4541,8142
j6036_10,discrete,77.0,77.0,2.03,17623,1030
j6036_10,continuous,77.0,77.0,0.07,3975,7172
j603_9,discrete,63.0,63.0,1.65,17531,1020
j603_9,continuous,63.0,63.0,1.33,5251,9358
j601_8,discrete,71.0,71.0,1.96,19642,1104
j601_8,continuous,71.0,71.0,6.95,4861,8539
j6033_5,discrete,97.0,97.0,2.82,19196,1102
j6033_5,continuous,97.0,97.0,2.4,3577,6342
j6014_10,discrete,67.0,67.0,3.31,20043,1188
j6014_10,continuous,67.0,81.0,600.01,5077,9070
j6015_7,discrete,64.0,64.0,2.77,17826,1072
j6015_7,continuous,64.0,64.0,27.45,5637,10050
j6032_1,discrete,68.99999999999999,68.99999999999999,2.91,18314,1055
j6032_1,continuous,77.0,77.0,0.12,4637,8319
j6032_1,discrete,68.99999999999999,68.99999999999999,2.91,18314,1055
j6032_1,continuous,69.0,69.0,0.12,5029,9005
j6039_9,discrete,72.0,72.0,3.6,18041,1074
j6039_9,continuous,72.0,72.0,3.18,3885,7022
j6018_2,discrete,69.0,69.0,2.0,18506,1103
j6018_2,continuous,69.0,69.0,9.37,4847,8664
j6027_8,discrete,88.0,88.0,3.14,16632,883
j6027_8,continuous,88.0,88.0,9.29,4677,8389
j6042_4,discrete,94.0,94.0,4.4,17774,1010
j6042_4,continuous,98.052631579,107.0,600.01,3893,7036
j6018_9,discrete,69.0,69.0,2.23,17567,1035
j6018_9,continuous,69.0,69.0,2.45,4445,7950
j6027_5,discrete,78.0,78.0,4.34,18348,1027
j6027_5,continuous,78.0,81.0,1025.8,4669,8375
j6035_7,discrete,73.0,73.0,2.27,16959,1030
j6035_7,continuous,73.0,73.0,1.08,3617,6529
j6016_8,discrete,68.0,68.0,2.51,18151,1000
j6016_8,continuous,68.0,68.0,0.13,5345,9539
j6029_4,discrete,75.0,75.0,3.19,18814,1119
j6029_4,continuous,-inf,inf,1067.24,4637,8157
j6034_7,discrete,83.0,83.0,2.45,17069,966
j6034_7,continuous,83.0,83.0,105.03,3687,6629
j6031_1,discrete,65.0,65.0,3.09,16254,927
j6031_1,continuous,65.0,65.0,4.18,4849,8690
j6031_1,discrete,65.0,65.0,3.09,16254,927
j6031_1,continuous,-inf,inf,894.5,4945,8858
j6012_3,discrete,75.0,75.0,3.33,18148,1052
j6012_3,continuous,75.0,75.0,0.14,5301,9462
j6026_7,discrete,72.0,72.0,3.03,15701,875
j6026_7,continuous,-inf,inf,1030.38,4625,8298
j6024_7,discrete,68.0,68.0,3.35,18262,1067
j6024_7,continuous,68.0,68.0,0.1,4565,8193
j6030_3,discrete,80.0,80.0,3.64,19841,1147
j6030_3,continuous,80.0,340.0,1004.31,4637,8319
j6041_10,discrete,71.0,71.0,3.3,19604,1202
j6041_10,continuous,75.198339737,129.0,600.0,3911,7048
j6017_4,discrete,69.0,69.0,1.6,16173,923
j6017_4,continuous,69.0,69.0,5.53,4285,7586
j6016_1,discrete,64.0,64.0,3.24,19529,1140
j6016_1,continuous,68.0,68.0,0.14,5389,9616
j6016_1,discrete,64.0,64.0,3.24,19529,1140
j6016_1,continuous,64.0,64.0,0.16,5353,9553
j6021_4,discrete,64.0,64.0,2.32,15672,955
j6021_4,continuous,66.5,74.00000000000003,600.01,3791,6516
j6026_3,discrete,71.0,71.0,4.08,18562,1087
j6026_3,continuous,71.003791551,78.0,600.01,4929,8830
j6022_1,discrete,62.0,62.0,3.05,16072,971
j6022_1,continuous,69.0,69.0,22.31,4805,8595
j6022_1,discrete,62.0,62.0,3.05,16072,971
j6022_1,continuous,64.0,64.0,18.12,4581,8221
j602_8,discrete,66.0,66.0,1.62,17562,1036
j602_8,continuous,66.0,73.0,1039.18,5637,10035
j6031_3,discrete,66.0,66.0,2.77,17160,1027
j6031_3,continuous,66.0,73.0,1039.34,4929,8830
j6013_10,discrete,63.0,63.0,3.25,19293,1140
j6013_10,continuous,67.0,143.0,600.01,5423,9674
j6018_5,discrete,80.0,80.0,1.88,16732,991
j6018_5,continuous,80.0,80.0,2.36,4657,8333
j6013_6,discrete,61.0,61.0,2.45,17479,1036
j6013_6,continuous,61.0,111.0,600.01,5645,10064
j6025_1,discrete,71.0,71.0,2.96,14816,847
j6025_1,continuous,78.0,108.0,600.0,4263,7597
j6025_1,discrete,71.0,71.0,2.96,14816,847
j6025_1,continuous,71.0,86.0,600.0,3959,6717
j6020_3,discrete,69.0,69.0,1.98,18515,1095
j6020_3,continuous,69.0,69.0,0.08,4633,8312
j6041_8,discrete,95.0,95.0,4.65,18167,1034
j6041_8,continuous,95.0,95.0,34.79,3499,6036
j6017_7,discrete,81.0,81.0,2.0,18607,1083
j6017_7,continuous,81.0,81.0,3.67,4719,8305
j601_1,discrete,77.0,77.0,1.39,17472,936
