instance,group,formulation,lower_bound,upper_bound,time,variables,constraints,optimal
j3019_1,j3019,continuous,40,40,0.09,1097,2117,True
j3019_2,j3019,discrete,58,58,0.04,660,299,True
j3019_2,j3019,continuous,58,58,0.02,1045,1984,True
j3019_3,j3019,discrete,83,83,0.14,1145,430,True
j3019_3,j3019,continuous,83,83,0.09,909,1727,True
j3019_4,j3019,discrete,39,39,0.08,615,272,True
j3019_4,j3019,continuous,39,39,0.1,1117,2105,True
j3019_5,j3019,discrete,48,48,0.07,597,286,True
j3019_5,j3019,continuous,48,48,0.09,1009,1923,True
j3019_6,j3019,discrete,49,49,0.06,681,286,True
j3019_6,j3019,continuous,49,49,0.1,959,1819,True
j3019_7,j3019,discrete,57,57,0.06,776,301,True
j3019_7,j3019,continuous,57,57,0.03,1033,1952,True
j3019_8,j3019,discrete,55,55,0.1,735,308,True
j3019_8,j3019,continuous,55,55,0.11,1061,2024,True
j3019_9,j3019,discrete,38,38,0.07,442,248,True
j3019_9,j3019,continuous,38,38,0.07,1069,2066,True
j301_10,j301,discrete,45,45,0.2,773,283,True
j301_10,j301,continuous,45,45,0.26,1161,2151,True
j301_1,j301,discrete,43,43,0.17,820,272,True
j301_1,j301,continuous,43,43,0.11,1171,2163,True
j301_2,j301,discrete,47,47,0.12,692,259,True
j301_2,j301,continuous,47,47,0.18,1239,2284,True
j301_3,j301,discrete,47,47,0.1,742,278,True
j301_3,j301,continuous,47,47,0.19,1143,2145,True
j301_4,j301,discrete,62,62,0.26,1069,343,True
j301_4,j301,continuous,62,62,0.3,1171,2161,True
j301_5,j301,discrete,39,39,0.4,697,236,True
j301_5,j301,continuous,39,39,0.26,1171,2160,True
j301_6,j301,discrete,48,48,0.59,984,308,True
j301_6,j301,continuous,48,48,0.26,1073,1988,True
j301_7,j301,discrete,60,60,0.1,1074,343,True
j301_7,j301,continuous,60,60,0.13,1109,2065,True
j301_8,j301,discrete,53,53,0.08,738,273,True
j301_8,j301,continuous,53,53,1008.23,1267,2394,True
j301_9,j301,discrete,49,49,0.38,761,291,True
j301_9,j301,continuous,49,49,0.31,1125,2096,True
j3020_10,j3020,discrete,37,37,0.02,298,219,True
j3020_10,j3020,continuous,37,37,0.02,1009,2012,True
j3020_1,j3020,discrete,57,57,0.03,529,303,True
j3020_1,j3020,continuous,57,57,0.03,1029,1997,True
j3020_2,j3020,discrete,70,70,0.04,688,349,True
j3020_2,j3020,continuous,70,70,0.03,997,1917,True
j3020_3,j3020,discrete,49,49,0.02,442,256,True
j3020_3,j3020,continuous,49,49,0.02,1127,2182,True
j3020_4,j3020,discrete,43,43,0.01,241,238,True
j3020_4,j3020,continuous,43,43,0.02,1115,2228,True
j3020_5,j3020,discrete,61,61,0.03,678,322,True
j3020_5,j3020,continuous,61,61,0.02,889,1725,True
j3020_6,j3020,discrete,51,51,0.05,694,292,True
j3020_6,j3020,continuous,51,51,0.06,1013,1916,True
j3020_7,j3020,discrete,42,42,0.02,451,250,True
j3020_7,j3020,continuous,42,42,0.02,1073,2064,True
j3020_8,j3020,discrete,51,51,0.03,702,291,True
j3020_8,j3020,continuous,51,51,0.02,1045,1984,True
j3020_9,j3020,discrete,41,41,0.02,347,246,True
j3020_9,j3020,continuous,41,41,0.02,1025,2010,True
j3021_10,j3021,discrete,69,69,34.61,1392,415,True
j3021_10,j3021,continuous,69,69,982.74,881,1642,True
j3021_1,j3021,discrete,84,84,25.47,1686,479,True
j3021_1,j3021,continuous,84,84,0.42,705,1337,True
