instance,formulation,lower_bound,upper_bound,time,variables,constaints
j3023_9,continuous,58.0,58.0,0.23,1003,1850
j308_7,discrete,41.0,41.0,0.39,4056,417
j308_7,continuous,41.0,41.0,0.03,1269,2316
j3013_9,discrete,51.0,51.0,0.64,4118,397
j3013_9,continuous,56.0,56.0,37.51,1061,1844
j3013_7,discrete,50.0,50.0,0.54,4094,369
j3013_7,continuous,51.0,51.0,7.88,961,1615
j3048_3,discrete,50.0,50.0,0.39,3822,369
j3048_3,continuous,50.0,50.0,0.02,909,1706
j3041_1,discrete,50.0,50.0,0.64,4195,449
j3041_1,continuous,53.0,53.0,0.14,607,1062
j3041_1,continuous,61.0,61.0,0.3,683,1144
j3026_4,discrete,62.0,62.0,0.76,4952,479
j3026_4,continuous,62.0,62.0,1.66,1089,2011
j3027_10,discrete,62.0,62.0,0.71,4295,359
j3027_10,continuous,62.0,62.0,0.24,1009,1871
j3037_9,discrete,46.0,46.0,0.37,3021,329
j3037_9,continuous,46.0,46.0,0.09,675,1220
j3045_7,discrete,72.0,72.0,0.61,3883,309
j3045_7,continuous,72.0,72.0,0.06,567,938
j301_6,discrete,38.0,38.0,0.24,2937,273
j301_6,continuous,38.0,38.0,0.14,1073,1922
j3011_10,discrete,38.0,38.0,0.54,3954,413
j3011_10,continuous,38.0,38.0,0.34,1257,2295
j3019_3,discrete,83.0,83.0,0.58,4922,383
j3019_3,continuous,83.0,83.0,0.08,909,1672
j3010_1,discrete,41.0,41.0,0.81,4250,453
j3010_1,continuous,42.0,42.0,1.01,1237,2260
j3010_1,continuous,41.0,41.0,7.83,1309,2386
j3046_2,discrete,64.0,64.0,1.05,4726,501
j3046_2,continuous,67.0,67.0,12.37,801,1517
j3043_1,discrete,53.0,53.0,0.66,3866,385
j3043_1,continuous,60.0,60.0,1.0,775,1470
j3043_1,continuous,55.0,55.0,1.91,833,1567
j3031_1,discrete,43.0,43.0,0.58,3726,399
j3031_1,continuous,43.0,43.0,0.44,1125,2074
j3031_1,continuous,55.0,55.0,31.56,981,1822
j3039_9,discrete,58.0,58.0,0.59,4228,417
j3039_9,continuous,58.0,58.0,0.08,727,1380
j3045_9,discrete,50.0,50.0,0.71,3776,393
j3045_9,continuous,55.0,55.0,1.88,711,1259
j3035_8,discrete,63.0,63.0,0.58,4261,397
j3035_8,continuous,63.0,63.0,0.07,851,1597
j3034_7,discrete,54.0,54.0,0.46,4120,413
j3034_7,continuous,54.0,54.0,0.13,807,1508
j3038_4,discrete,56.0,56.0,0.69,4696,477
j3038_4,continuous,56.0,56.0,0.19,753,1427
j3044_8,discrete,49.0,49.0,0.57,3790,381
j3044_8,continuous,49.0,49.0,0.02,861,1622
j3032_7,discrete,35.0,35.0,0.57,3791,419
j3032_7,continuous,35.0,35.0,0.03,993,1843
j3042_8,discrete,67.0,67.0,0.65,4141,401
j3042_8,continuous,67.0,67.0,1.14,739,1371
j3022_6,discrete,45.0,45.0,0.47,4103,427
j3022_6,continuous,52.0,52.0,1.8,1057,1952
j3036_2,discrete,44.0,44.0,0.41,4085,457
j3036_2,continuous,44.0,44.0,0.02,877,1644
j305_3,discrete,53.99999999999999,53.99999999999999,0.55,4521,437
j305_3,continuous,54.0,54.0,0.39,1093,1894
j306_4,discrete,36.0,36.0,0.48,4453,493
j306_4,continuous,42.0,42.0,2.1,1271,2315
j3011_5,discrete,48.0,48.0,0.61,4504,421
j3011_5,continuous,49.0,49.0,3.48,1203,2199
j303_1,discrete,72.0,72.0,0.49,5175,469
j303_1,continuous,72.0,72.0,0.09,1083,1977
j303_1,continuous,57.0,57.0,0.12,1135,2071
j3012_2,discrete,46.0,46.0,0.83,4541,461
j3012_2,continuous,46.0,46.0,0.03,1261,2302
j3046_9,discrete,45.0,45.0,0.72,3876,417
j3046_9,continuous,49.0,49.0,2.14,861,1622
j3048_6,discrete,58.0,58.0,0.69,4213,417
j3048_6,continuous,58.0,58.0,0.02,813,1538
j3035_5,discrete,60.0,60.0,0.36,3714,345
j3035_5,continuous,60.0,60.0,0.06,797,1504
j308_10,discrete,67.0,67.0,0.43,3827,301
j308_10,continuous,67.0,67.0,0.02,1095,2010
j3010_9,discrete,49.0,49.0,0.46,3973,385
j3010_9,continuous,49.0,49.0,1.0,1309,2386
